time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2009-12-31T00:17:56.360Z,34.014,-117.116,11.2,3.2,ml,13,116.1,,,pde,pde20091231001756360_11,2014-04-09T02:20:49.147Z,"Greater Los Angeles area, California",earthquake
2009-12-13T23:45:42.570Z,33.351,-116.283,13.2,2.6,ml,4,194.5,,,pde,pde20091213234542570_13,2014-04-09T02:14:13.503Z,"Southern California",earthquake
2009-12-13T10:26:09.280Z,35.755,-119.007,19,3,ml,7,129.4,,,pde,pde20091213102609280_19,2014-04-09T02:14:00.043Z,"Central California",earthquake
2009-12-09T04:36:47.190Z,35.554,-120.79,3.9,3,ml,11,216.6,,,pde,pde20091209043647190_3,2014-04-09T07:42:33.377Z,"Central California",earthquake
2009-12-03T17:44:37.280Z,33.256,-116.435,4.8,2.9,ml,8,103.3,,,pde,pde20091203174437280_4,2014-04-08T21:57:47.699Z,"Southern California",earthquake
2009-11-29T06:54:28.090Z,34.051,-117.29,13.7,3,ml,9,120.3,,,pde,pde20091129065428090_13,2014-04-09T02:10:47.211Z,"Greater Los Angeles area, California",earthquake
2009-11-28T01:32:27.640Z,34.009,-116.891,10.6,2.7,ml,8,106.9,,,pde,pde20091128013227640_10,2014-04-09T02:10:44.787Z,"Southern California",earthquake
2009-11-25T07:12:13.110Z,33.983,-116.364,8,2.7,ml,8,104.4,,,pde,pde20091125071213110_8,2014-04-09T02:09:10.711Z,"Southern California",earthquake
2009-11-25T04:12:51.320Z,34.002,-117.195,9.1,2.7,ml,8,120.4,,,pde,pde20091125041251320_9,2014-04-09T02:08:43.530Z,"Greater Los Angeles area, California",earthquake
2009-11-22T15:55:31.660Z,34.359,-116.891,3.1,3.6,ml,21,86.8,,,pde,pde20091122155531660_3,2013-12-23T03:38:25.060Z,"Southern California",earthquake
2009-11-18T00:44:00.600Z,33.182,-115.612,2.1,3.4,ml,18,140.1,,,pde,pde20091118004400600_2,2014-04-09T02:07:32.843Z,"Southern California",earthquake
