time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-03-01T07:00:12.300Z,37.8617,-122.248,9.8,2.5,Md,,18,0.00898315,0.1,nc,nc72177126,2014-03-29T10:36:37.000Z,"2km ESE of Berkeley, California",earthquake
2014-02-07T02:01:18.200Z,37.8568,-122.2482,5.9,2,Md,,21.6,0.00898315,0.08,nc,nc72157906,2014-03-19T21:37:42.000Z,"2km SE of Berkeley, California",earthquake
2013-11-22T01:45:08.300Z,37.8888,-122.2055,8.9,2.1,Md,,43.2,0.01796631,0.06,nc,nc72107950,2013-11-27T06:17:08.127Z,"2km WNW of Orinda, California",earthquake
2013-11-17T21:02:18.900Z,37.8855,-122.207,8.7,2.3,Md,,21.6,0.00898315,0.09,nc,nc72109046,2014-01-31T22:24:36.729Z,"2km WNW of Orinda, California",earthquake
2013-11-12T15:17:23.000Z,37.7855,-122.3102,7.4,2.3,Md,,21.6,0.02694946,0.08,nc,nc72106246,2014-03-21T04:36:18.201Z,"4km WSW of Oakland, California",earthquake
2013-10-15T09:15:12.100Z,37.8862,-122.2318,7,2.6,Md,,18,0.00898315,0.16,nc,nc72087836,2014-01-09T23:19:57.888Z,"3km ENE of Berkeley, California",earthquake
2013-10-15T09:06:19.600Z,37.8837,-122.2242,6.8,2.7,Md,,39.6,0,0.13,nc,nc72087826,2014-03-21T05:18:14.113Z,"3km W of Orinda, California",earthquake
2013-10-15T08:07:26.500Z,37.8827,-122.2305,7.3,3.2,Mw,,32.4,0.00898315,0.17,nc,nc72087796,2014-03-21T04:04:54.637Z,"3km ENE of Berkeley, California",earthquake
2013-10-07T04:26:08.200Z,37.8837,-122.2327,7,3,Mw,,14.4,0.00898315,0.14,nc,nc72082611,2014-03-21T03:46:36.160Z,"3km ENE of Berkeley, California",earthquake
2013-09-29T15:22:04.200Z,37.8608,-122.212,7.5,2.3,Md,,18,0.02694946,0.15,nc,nc72078556,2014-03-21T04:11:49.617Z,"3km WSW of Orinda, California",earthquake
2013-06-25T09:52:13.200Z,37.7878,-122.23,8.5,2.4,Md,,14.4,0.01796631,0.17,nc,nc72015255,2014-03-21T04:45:38.089Z,"2km NNE of Alameda, California",earthquake
2013-05-25T20:53:14.200Z,37.9293,-122.2993,8.1,2,Md,,46.8,0.06288207,0.1,nc,nc72000031,2013-05-25T22:11:11.604Z,"1km NE of El Cerrito, California",earthquake
2013-01-25T05:12:27.530Z,37.883,-122.232,8.3,2,md,12,146.3,,,pde,pde20130125051227530_8,2013-03-16T00:10:05.979Z,"San Francisco Bay area, California",earthquake
2012-10-21T03:02:24.430Z,37.864,-122.255,7.1,2.4,md,21,55.3,,,pde,pde20121021030224430_7,2013-03-16T00:08:23.818Z,"San Francisco Bay area, California",earthquake
2012-09-28T16:25:55.700Z,37.853,-122.249,6.9,2.7,md,26,47.9,,,pde,pde20120928162555700_6,2013-03-16T00:14:48.363Z,"San Francisco Bay area, California",earthquake
2012-09-27T05:25:47.810Z,37.853,-122.247,7.1,2.2,md,33,47.8,,,pde,pde20120927052547810_7,2013-03-16T00:14:46.978Z,"San Francisco Bay area, California",earthquake
2012-08-27T01:52:37.530Z,37.875,-122.253,9.2,2,md,31,52.8,,,pde,pde20120827015237530_9,2013-03-16T00:13:57.509Z,"San Francisco Bay area, California",earthquake
2012-07-05T03:40:35.090Z,37.856,-122.246,9,2.5,md,44,48.2,,,pde,pde20120705034035090_9,2013-03-16T00:12:47.464Z,"San Francisco Bay area, California",earthquake
