time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2012-09-06T23:05:19.840Z,-16.444,-73.561,35,4.4,mb,11,149.5,,0.79,pde,pde20120906230519840_35,2013-03-16T00:14:17.262Z,"near the coast of southern Peru",earthquake
2012-03-10T04:21:53.810Z,-16.486,-73.726,94.2,4.2,mb,22,124.1,,1.2,pde,pde20120310042153810_94,2013-03-16T00:10:04.334Z,"near the coast of southern Peru",earthquake
2012-02-02T04:50:48.420Z,-16.186,-73.526,72.2,4.9,mb,187,65.7,,0.98,pde,pde20120202045048420_72,2013-03-16T00:09:01.844Z,"near the coast of southern Peru",earthquake
2011-08-31T01:36:20.000Z,-16.21,-73.79,45,3.8,mb,15,133.9,,,pde,pde20110831013620000_45,2013-03-16T00:05:02.111Z,"near the coast of southern Peru",earthquake
2011-04-12T09:30:08.530Z,-16.434,-73.556,44.6,4.4,m,15,105.6,,0.9,pde,pde20110412093008530_44,2013-03-16T00:01:32.534Z,"near the coast of southern Peru",earthquake
2010-06-19T02:54:28.230Z,-16.156,-73.623,35.6,4.5,mb,38,132.1,,1.11,pde,pde20100619025428230_35,2013-03-16T01:49:49.956Z,"near the coast of southern Peru",earthquake
2010-06-06T03:14:37.610Z,-16.354,-73.454,59.9,4.3,mb,31,104.1,,1.05,pde,pde20100606031437610_59,2013-03-16T01:49:45.394Z,"near the coast of southern Peru",earthquake
2009-12-19T20:56:14.130Z,-16.089,-73.745,39.6,4.6,mb,43,93.2,,0.99,pde,pde20091219205614130_39,2013-03-16T01:47:57.638Z,"near the coast of southern Peru",earthquake
2009-11-22T19:30:45.960Z,-16.417,-73.479,50.4,4.7,mb,9,148.4,,1.39,pde,pde20091122193045960_50,2013-03-16T01:47:41.805Z,"near the coast of southern Peru",earthquake
2009-05-07T23:39:04.660Z,-16.032,-73.646,53.9,4.4,mb,20,93.4,,1.61,pde,pde20090507233904660_53,2013-03-16T01:45:38.548Z,"near the coast of southern Peru",earthquake
2008-09-20T14:43:05.440Z,-16.125,-73.63,40.5,5.4,mwb,159,29.9,,0.98,pde,pde20080920144305440_40,2013-03-16T01:42:54.469Z,"near the coast of southern Peru",earthquake
2007-09-20T07:30:38.150Z,-16.035,-73.726,58.3,5.1,mwc,106,66.5,,0.97,pde,pde20070920073038150_58,2013-03-16T01:37:05.223Z,"near the coast of southern Peru",earthquake
2007-01-05T07:24:13.180Z,-16.422,-73.862,73.4,4.7,mb,24,149.9,,1.21,pde,pde20070105072413180_73,2013-03-16T01:32:58.520Z,"near the coast of southern Peru",earthquake
2006-06-12T08:00:17.970Z,-16.476,-73.736,56.5,4.4,mb,18,131.4,,1.31,pde,pde20060612080017970_56,2013-03-16T01:29:50.181Z,"near the coast of southern Peru",earthquake
