time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
1980-07-29T19:53:34.500Z,38.307,142.25,33,4.4,mb,,,,,pde,pde19800729195334500_33,2013-02-08T21:40:29.590Z,"near the east coast of Honshu, Japan",earthquake
1981-01-26T09:48:10.300Z,38.275,142.519,89,4.2,mb,,,,,pde,pde19810126094810300_89,2013-02-08T21:40:33.197Z,"near the east coast of Honshu, Japan",earthquake
1987-01-22T13:11:01.590Z,38.388,142.306,33,4.8,mb,,,,0.5,pde,pde19870122131101590_33,2013-03-16T00:18:01.870Z,"near the east coast of Honshu, Japan",earthquake
1987-05-26T12:07:52.560Z,38.222,142.318,36.6,5.5,mw,,,,1,pde,pde19870526120752560_36,2013-03-16T00:18:53.985Z,"near the east coast of Honshu, Japan",earthquake
1989-12-22T07:04:45.600Z,38.303,142.341,33,4.7,mb,,,,1.2,pde,pde19891222070445600_33,2013-03-16T00:25:37.587Z,"near the east coast of Honshu, Japan",earthquake
1996-08-10T12:09:19.040Z,38.396,142.394,33,4,mb,,,,1.3,pde,pde19960810120919040_33,2013-03-16T00:48:00.186Z,"near the east coast of Honshu, Japan",earthquake
1999-11-15T01:34:35.800Z,38.304,142.309,50.6,5.7,mwc,,,,0.67,pde,pde19991115013435800_50,2013-03-16T00:59:46.314Z,"near the east coast of Honshu, Japan",earthquake
2005-08-16T11:07:09.560Z,38.202,142.265,46.7,4,mwr,21,209.4,,0.59,pde,pde20050816110709560_46,2013-03-16T01:25:40.884Z,"near the east coast of Honshu, Japan",earthquake
2005-09-29T15:51:04.220Z,38.35,142.257,35,3.6,mwr,9,141,,1.41,pde,pde20050929155104220_35,2013-03-16T01:26:17.367Z,"near the east coast of Honshu, Japan",earthquake
2006-01-31T19:23:59.020Z,38.321,142.342,41.8,5.3,mwc,41,124.2,,0.68,pde,pde20060131192359020_41,2013-03-16T01:27:51.143Z,"near the east coast of Honshu, Japan",earthquake
2007-01-17T04:11:38.070Z,38.276,142.38,63.4,4.2,mb,22,129.6,,0.91,pde,pde20070117041138070_63,2013-03-16T01:33:12.145Z,"near the east coast of Honshu, Japan",earthquake
2007-12-25T23:38:54.020Z,38.366,142.312,31.5,4.4,mwr,102,121.8,,0.76,pde,pde20071225233854020_31,2013-03-16T01:38:26.598Z,"near the east coast of Honshu, Japan",earthquake
2009-10-14T13:09:59.320Z,38.295,142.414,41.7,4.3,mwr,29,128.1,,1.15,pde,pde20091014130959320_41,2013-03-16T01:47:20.414Z,"near the east coast of Honshu, Japan",earthquake
2011-03-09T18:16:16.440Z,38.315,142.434,22,6,mww,411,29.7,,1.14,pde,pde20110309181616440_22,2013-03-16T01:52:43.039Z,"near the east coast of Honshu, Japan",earthquake
