time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-04-04T04:48:58.360Z,33.9583333,-117.9001667,7.05,2.36,ml,68,38,0.02345,0.19,ci,ci15485385,2014-04-04T13:58:53.390Z,"2km SSE of Rowland Heights, California",earthquake
2014-04-03T10:59:46.000Z,33.898,-117.9603333,4.06,2.47,ml,73,56,0.04097,0.2,ci,ci15485041,2014-04-04T06:14:01.782Z,"3km SSW of La Habra, California",earthquake
2014-04-02T10:46:08.850Z,33.9356667,-117.9131667,4.4,2.15,ml,46,37,0.01308,0.17,ci,ci15484697,2014-04-03T15:25:10.033Z,"2km NNW of Brea, California",earthquake
2014-04-01T18:30:44.960Z,33.9105,-117.9503333,3.97,2.95,ml,76,31,0.04124,0.19,ci,ci15484513,2014-04-02T17:20:10.000Z,"2km S of La Habra, California",earthquake
2014-04-01T18:29:44.790Z,33.9078333,-117.952,3.77,2.48,ml,49,68,0.0436,0.19,ci,ci15484497,2014-04-02T17:12:11.000Z,"2km SSW of La Habra, California",earthquake
2014-04-01T13:02:49.560Z,33.9086667,-117.9526667,4.26,2.83,ml,55,42,0.04383,0.19,ci,ci15484417,2014-04-01T23:56:16.482Z,"2km SSW of La Habra, California",earthquake
2014-03-31T21:31:13.040Z,33.896,-117.9556667,4.02,2.43,ml,49,54,0.03672,0.2,ci,ci15484185,2014-04-01T13:17:02.307Z,"4km NW of Fullerton, California",earthquake
2014-03-31T19:14:06.490Z,33.919,-117.9375,4.15,2.51,ml,47,89,0.02871,0.18,ci,ci15484169,2014-04-01T17:33:09.598Z,"1km SSE of La Habra, California",earthquake
2014-03-31T18:17:28.890Z,33.9168333,-117.9393333,3.61,2.65,ml,48,91,0.0313,0.18,ci,ci15484145,2014-04-01T16:54:07.449Z,"1km SSE of La Habra, California",earthquake
2014-03-31T18:14:23.520Z,33.9205,-117.9333333,3.16,2.14,ml,22,87,0.02608,0.18,ci,ci15484137,2014-04-01T02:17:01.437Z,"1km SE of La Habra, California",earthquake
2014-03-31T14:21:17.470Z,33.908,-117.9441667,4.58,2.01,ml,41,66,0.04044,0.18,ci,ci15484065,2014-04-03T22:08:03.264Z,"2km S of La Habra, California",earthquake
2014-03-31T14:21:17.370Z,33.9068333,-117.9521667,4.37,2.01,ml,35,129,0.04286,0.2,ci,ci15484057,2014-03-31T18:54:05.080Z,"2km S of La Habra, California",earthquake
2014-03-31T14:15:53.750Z,33.9243333,-117.9115,4.01,2.03,ml,43,41,0.02333,0.19,ci,ci15484049,2014-04-03T22:07:40.168Z,"1km NW of Brea, California",earthquake
2014-03-31T11:41:21.900Z,33.9573333,-117.899,4.54,2.06,ml,40,36,0.02375,0.15,ci,ci15483977,2014-04-03T14:22:02.771Z,"2km SSE of Rowland Heights, California",earthquake
