time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-03-18T03:12:13.400Z,37.6745,-122.5818,0.3,2.3,Md,,201.6,0.34135981,0.36,nc,nc72187216,2014-03-18T19:18:06.449Z,"8km W of Broadmoor, California",earthquake
2014-03-04T13:20:41.600Z,37.7075,-122.5355,9.3,1.9,Md,,100.8,0.03593261,0.07,nc,nc72178846,2014-03-08T03:57:09.534Z,"5km WNW of Broadmoor, California",earthquake
2014-02-27T23:37:50.700Z,37.7912,-122.5858,9.3,1.9,Md,,93.6,0.05389892,0.05,nc,nc72176196,2014-03-24T23:06:29.000Z,"10km SSW of Tamalpais-Homestead Valley, California",earthquake
2014-01-09T05:01:45.800Z,37.809,-122.6033,7.1,1.9,Md,,90,0.05389892,0.09,nc,nc72139156,2014-01-09T07:50:06.613Z,"9km SW of Tamalpais-Homestead Valley, California",earthquake
2013-11-12T23:40:30.500Z,37.6588,-122.4918,10.1,2.8,Md,,90,0.02694946,0.07,nc,nc72106531,2014-03-21T04:33:18.717Z,"3km SSW of Broadmoor, California",earthquake
2013-11-12T23:39:40.500Z,37.657,-122.4962,10.3,2.1,Md,,93.6,0.02694946,0.06,nc,nc72106526,2013-11-20T23:19:08.423Z,"3km SSW of Broadmoor, California",earthquake
2013-10-16T22:11:17.200Z,37.667,-122.4903,4.4,2,Md,,86.4,0.00898315,0.08,nc,nc72089056,2014-03-21T05:37:48.119Z,"2km SSW of Broadmoor, California",earthquake
2013-10-01T03:26:59.900Z,37.7113,-122.5288,5.4,2.3,Md,,172.8,0.08983153,0.07,nc,nc72075875,2014-03-21T03:19:10.031Z,"4km NW of Broadmoor, California",earthquake
2013-08-31T06:09:33.100Z,37.7723,-122.6235,6.4,2.2,Md,,100.8,0.08983153,0.08,nc,nc72060441,2013-11-06T01:33:35.000Z,"14km SSW of Tamalpais-Homestead Valley, California",earthquake
2013-08-28T20:24:04.600Z,37.7708,-122.6275,4.8,1.9,Md,,100.8,0.09881468,0.14,nc,nc72058511,2013-08-30T16:13:08.547Z,"14km SW of Tamalpais-Homestead Valley, California",earthquake
2013-08-18T05:34:47.000Z,37.7242,-122.533,11.9,2.1,Md,,136.8,0.02694946,0.08,nc,nc72051566,2014-03-21T05:20:41.848Z,"6km WNW of Daly City, California",earthquake
2013-07-16T16:56:35.700Z,37.7508,-122.6092,6.9,2.4,Md,,234,0.70966907,0.06,nc,nc72027810,2013-07-17T01:00:52.690Z,"13km WNW of Daly City, California",earthquake
2013-06-10T12:41:32.100Z,37.6698,-122.5288,10.8,2,Md,,111.6,0.03593261,0.08,nc,nc72005635,2013-06-18T02:49:12.016Z,"4km WSW of Broadmoor, California",earthquake
2013-04-19T06:42:27.700Z,37.7572,-122.572,7.5,2.3,Md,,100.8,0.05389892,0.08,nc,nc71973685,2014-03-21T05:15:29.554Z,"11km WNW of Daly City, California",earthquake
2013-03-20T11:51:14.700Z,37.754,-122.5725,7.4,2.5,Md,,100.8,0.05389892,0.07,nc,nc71957540,2014-03-21T03:44:26.677Z,"10km NW of Broadmoor, California",earthquake
2013-03-08T20:26:55.200Z,37.7557,-122.566,6.9,2.7,Md,,97.2,0.04491576,0.09,nc,nc71950635,2014-03-21T05:06:55.165Z,"10km WNW of Daly City, California",earthquake
2013-02-02T17:07:53.900Z,37.7568,-122.564,11.8,1.9,Md,,97.2,0.04491576,0.08,nc,nc71933971,2013-02-08T01:42:08.517Z,"10km WNW of Daly City, California",earthquake
2012-12-31T21:00:40.960Z,37.637,-122.496,8.7,2.1,md,5,252.9,,,pde,pde20121231210040960_8,2013-03-16T00:09:51.849Z,"offshore Northern California",earthquake
2012-10-11T14:01:32.500Z,37.768,-122.594,4.9,2.4,md,17,187.2,,,pde,pde20121011140132500_4,2013-03-16T00:15:20.274Z,"offshore Northern California",earthquake
2012-04-02T09:59:24.500Z,37.803,-122.585,3.6,2.1,md,21,90,,,pde,pde20120402095924500_3,2013-03-16T00:10:43.239Z,"offshore Northern California",earthquake
2012-02-24T07:49:56.830Z,37.673,-122.365,10.4,2.4,md,42,114.2,,,pde,pde20120224074956830_10,2013-03-16T00:09:35.096Z,"San Francisco Bay, California",earthquake
2012-02-21T08:46:14.970Z,37.754,-122.57,9.2,2.2,md,32,212.2,,,pde,pde20120221084614970_9,2013-03-16T00:09:32.316Z,"offshore Northern California",earthquake
2012-01-03T21:12:48.160Z,37.647,-122.486,10.6,2.2,md,6,213.7,,,pde,pde20120103211248160_10,2013-03-16T00:08:13.623Z,"San Francisco Bay area, California",earthquake
2011-11-12T21:16:17.000Z,37.64,-122.49,7,2.3,ml,9,118.7,,,pde,pde20111112211617000_7,2013-03-16T00:06:50.374Z,"San Francisco Bay area, California",earthquake
2011-10-03T12:18:22.430Z,37.653,-122.489,10.4,2,md,5,186.5,,,pde,pde20111003121822430_10,2013-03-16T00:05:55.970Z,"San Francisco Bay area, California",earthquake
2011-09-26T03:11:40.290Z,37.725,-122.563,8.5,2.3,md,4,192.2,,,pde,pde20110926031140290_8,2013-03-16T00:05:46.744Z,"offshore Northern California",earthquake
2011-09-08T22:07:28.350Z,37.714,-122.549,6.8,2.1,md,7,112.5,,,pde,pde20110908220728350_6,2013-03-16T00:05:14.769Z,"offshore Northern California",earthquake
2011-08-30T07:19:18.500Z,37.714,-122.522,6.5,2.8,md,4,189,,,pde,pde20110830071918500_6,2013-03-16T00:05:01.237Z,"offshore Northern California",earthquake
2011-08-07T17:50:22.880Z,37.705,-122.518,6.5,2.1,md,4,189.4,,,pde,pde20110807175022880_6,2013-03-16T00:04:30.603Z,"offshore Northern California",earthquake
2010-12-18T17:40:38.120Z,37.647,-122.482,6.1,1.9,md,8,194.5,,,pde,pde20101218174038120_6,2013-03-16T01:51:34.454Z,"San Francisco Bay area, California",earthquake
