time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2009-12-31T00:17:56.360Z,34.014,-117.116,11.2,3.2,ml,13,116.1,,,pde,pde20091231001756360_11,2013-03-16T01:48:03.609Z,"Greater Los Angeles area, California",earthquake
2009-12-24T18:55:03.850Z,33.953,-117.991,11.1,2.1,ml,6,219,,,pde,pde20091224185503850_11,2013-03-16T01:48:00.030Z,"Greater Los Angeles area, California",earthquake
2009-12-22T11:42:29.720Z,33.731,-118.059,16.7,2,ml,5,215,,,pde,pde20091222114229720_16,2013-03-16T01:47:58.380Z,"Greater Los Angeles area, California",earthquake
2009-12-19T09:59:12.690Z,33.666,-116.755,15,2.5,ml,8,117.4,,,pde,pde20091219095912690_15,2013-03-16T01:47:57.466Z,"Southern California",earthquake
2009-12-17T01:15:55.000Z,33.873,-117.865,4.6,2,ml,5,195.8,,,pde,pde20091217011555000_4,2013-03-16T01:47:56.399Z,"Greater Los Angeles area, California",earthquake
2009-12-15T02:43:41.220Z,33.572,-118.2,0.1,2.2,ml,6,229.6,,,pde,pde20091215024341220_0,2013-03-16T01:47:55.793Z,"San Pedro Channel, California",earthquake
2009-12-14T20:38:12.280Z,33.848,-117.728,3.8,2,ml,9,181.5,,,pde,pde20091214203812280_3,2013-03-16T01:47:55.677Z,"Greater Los Angeles area, California",earthquake
2009-12-13T23:45:42.570Z,33.351,-116.283,13.2,2.6,ml,4,194.5,,,pde,pde20091213234542570_13,2013-03-16T01:47:55.414Z,"Southern California",earthquake
2009-12-09T16:28:58.660Z,33.915,-118.334,15.2,2.3,ml,6,225.2,,,pde,pde20091209162858660_15,2013-03-16T01:47:53.737Z,"Greater Los Angeles area, California",earthquake
2009-12-07T08:02:39.720Z,33.99,-116.942,8.3,2.2,ml,7,112.4,,,pde,pde20091207080239720_8,2013-03-16T01:47:52.377Z,"Southern California",earthquake
2009-12-07T06:54:48.710Z,34.691,-116.304,6,2.2,ml,8,74.5,,,pde,pde20091207065448710_6,2013-03-16T01:47:52.362Z,"Southern California",earthquake
2009-12-03T17:44:37.280Z,33.256,-116.435,4.8,2.9,ml,8,103.3,,,pde,pde20091203174437280_4,2013-03-16T01:47:50.413Z,"Southern California",earthquake
2009-12-01T05:49:35.150Z,33.87,-117.864,11,2.2,ml,6,178.8,,,pde,pde20091201054935150_11,2013-03-16T01:47:48.396Z,"Greater Los Angeles area, California",earthquake
2009-11-30T11:01:21.420Z,33.932,-118.333,13,2.3,ml,6,224.7,,,pde,pde20091130110121420_13,2013-03-16T01:47:46.136Z,"Greater Los Angeles area, California",earthquake
2009-11-30T06:21:21.990Z,34.031,-117.243,16.1,2.3,ml,6,120.1,,,pde,pde20091130062121990_16,2013-03-16T01:47:46.129Z,"Greater Los Angeles area, California",earthquake
2009-11-29T06:54:28.090Z,34.051,-117.29,13.7,3,ml,9,120.3,,,pde,pde20091129065428090_13,2013-03-16T01:47:45.486Z,"Greater Los Angeles area, California",earthquake
2009-11-28T01:32:27.640Z,34.009,-116.891,10.6,2.7,ml,8,106.9,,,pde,pde20091128013227640_10,2013-03-16T01:47:44.301Z,"Southern California",earthquake
2009-11-25T07:12:13.110Z,33.983,-116.364,8,2.7,ml,8,104.4,,,pde,pde20091125071213110_8,2013-03-16T01:47:43.110Z,"Southern California",earthquake
2009-11-25T05:50:34.510Z,34,-117.195,9.6,2.5,ml,7,120.6,,,pde,pde20091125055034510_9,2013-03-16T01:47:43.103Z,"Greater Los Angeles area, California",earthquake
2009-11-25T04:12:51.320Z,34.002,-117.195,9.1,2.7,ml,8,120.4,,,pde,pde20091125041251320_9,2013-03-16T01:47:43.093Z,"Greater Los Angeles area, California",earthquake
2009-11-22T15:55:31.660Z,34.359,-116.891,3.1,3.6,ml,21,86.8,,,pde,pde20091122155531660_3,2013-12-23T03:38:25.060Z,"Southern California",earthquake
2009-11-20T14:27:02.180Z,34.059,-117.256,16.2,2.5,ml,9,118.3,,,pde,pde20091120142702180_16,2013-03-16T01:47:40.684Z,"Greater Los Angeles area, California",earthquake
2009-11-18T00:44:00.600Z,33.182,-115.612,2.1,3.4,ml,18,140.1,,,pde,pde20091118004400600_2,2013-03-16T01:47:39.643Z,"Southern California",earthquake
2009-11-17T23:05:36.980Z,33.176,-115.608,1.4,3.3,ml,13,140.7,,,pde,pde20091117230536980_1,2013-03-16T01:47:39.592Z,"Southern California",earthquake
2009-11-17T22:52:13.390Z,33.177,-115.608,1.5,3.2,ml,17,140.6,,,pde,pde20091117225213390_1,2013-03-16T01:47:39.587Z,"Southern California",earthquake
2009-11-16T13:54:34.120Z,33.415,-116.635,8,3.6,ml,10,199.7,,,pde,pde20091116135434120_8,2013-12-23T03:37:04.712Z,"Southern California",earthquake
2009-11-15T22:48:37.670Z,33.172,-119.302,6,3.5,ml,6,255.6,,,pde,pde20091115224837670_6,2013-03-16T01:47:38.935Z,"Channel Islands region, California",earthquake
2009-11-15T22:45:27.130Z,33.166,-119.302,6,4.4,mb,110,76.3,,,pde,pde20091115224527130_6,2013-12-23T03:36:37.435Z,"Channel Islands region, California",earthquake
2009-11-15T07:54:22.700Z,33.914,-117.059,13.5,3.3,ml,10,164.7,,,pde,pde20091115075422700_13,2013-03-16T01:47:38.689Z,"Southern California",earthquake
2009-11-14T10:55:44.990Z,34.012,-117.117,11.1,2.2,ml,5,121.2,,,pde,pde20091114105544990_11,2013-03-16T01:47:38.115Z,"Greater Los Angeles area, California",earthquake
2009-11-13T11:13:07.030Z,34.153,-117.437,12.6,2.1,ml,5,115.6,,,pde,pde20091113111307030_12,2013-03-16T01:47:37.605Z,"Greater Los Angeles area, California",earthquake
2009-11-13T10:11:37.270Z,34.164,-117.427,5.5,3.3,ml,16,114.2,,,pde,pde20091113101137270_5,2013-03-16T01:47:37.602Z,"Greater Los Angeles area, California",earthquake
